Patient_ID,NPHP3,SAMD13,STC1,THEM6,TNFRSF12A,ASNS,FAM89A,ACAT1,HPGD,SLC7A8,TRIB3,APPL2,LRRC75B,BAMBI,FGFR3,DMXL2,CCL20,SERPINE2,CDK10,SON,FCGBP,IQGAP2,LUC7L3,BCKDHB,LYAR,NAAA,SKAP2,BHLHE40,IGFBP5,SNX14,HOMER1,PAPLN
TCGA-AA-3688-01,-1.4884,0.6562,-0.775,0.6315,-1.1063,-0.1194,0.6336,-0.4142,0.5442,-0.3798,1.8371,-0.8564,-0.0421,-0.7038,1.0301,-2.3875,-0.4592,-0.3714,0.637,-0.555,-0.0042,0.5319,0.6747,0.9702,1.0736,1.3295,1.4438,-1.2272,-0.8096,-0.4657,-0.1727,-0.2681
TCGA-AA-3692-01,0.5013,1.9567,-0.4531,1.049,-0.4847,0.3285,-0.0714,-0.6063,-0.6251,0.5775,-0.5732,0.857,0.8479,-0.7598,0.7665,-0.7204,0.0723,-1.8148,0.2818,-0.7036,0.7515,-1.3108,0.2249,0.6504,-0.204,0.42,0.7032,-0.0177,-0.4045,-0.6256,0.1422,0.4382
TCGA-AA-3693-01,-0.0028,0.4276,-1.3032,-0.1416,-0.2423,1.1744,1.207,-0.3135,2.0663,0.2719,-0.1812,0.9411,0.6162,-0.3089,-0.3317,-3.0207,-0.9723,0.7869,-0.2306,-0.6214,-2.0034,-0.1381,-0.2681,0.8594,-2.2768,3.0362,1.5008,-0.8754,-0.224,0.1713,-0.5044,0.2137
TCGA-AA-3696-01,0.2676,0.1382,0.3846,-0.0377,-0.8112,1.4896,1.1069,1.9047,-0.9275,0.0298,1.4071,0.3671,0.9495,0.0373,1.0645,-0.5126,-1.4964,1.0955,0.2889,0.6889,-0.327,-0.7955,-0.6039,0.1193,-0.5142,-0.5513,0.3942,-0.9846,0.0299,0.3847,0.0784,-0.7854
TCGA-AA-3710-01,0.4953,-1.0798,-0.1057,-0.7998,0.8584,-0.7511,0.1443,0.2823,1.3881,-0.9015,0.1289,0.7343,-1.5021,0.992,-0.7407,2.183,-0.02,-1.3787,-0.3529,0.0619,0.334,0.3112,-0.1756,-1.1278,-0.423,0.2323,0.848,0.4208,0.9787,-0.6404,-0.5494,-0.6753
TCGA-AA-3715-01,0.1908,-1.468,0.757,-1.1429,2.1249,0.652,-0.2755,0.0527,0.2379,-0.4629,0.2657,-0.3341,-1.8615,-0.412,-1.7964,1.1894,-0.7417,0.7551,-0.8181,0.821,0.5392,-1.8885,-0.2459,-0.0444,0.4273,-0.6521,-0.2268,1.2808,0.6026,1.2614,2.0305,-0.5119
TCGA-AA-3811-01,1.2386,-0.0745,1.5829,0.3279,-0.4023,0.5104,0.5143,1.681,2.487,-0.3095,0.3598,0.6479,-0.7529,-2.1665,0.1246,1.1808,-1.9621,-0.0586,-0.4311,0.8974,0.5279,2.02,0.2098,-1.0419,1.5529,-0.1768,1.3833,0.7959,0.3458,1.5836,0.0479,-1.0964
TCGA-AA-3812-01,-0.5437,0.4639,-0.0013,-1.1988,-0.0964,0.0038,-0.4477,0.6499,0.9626,-0.2447,-0.7303,1.637,-0.4252,-0.396,-0.0057,0.4762,-0.7654,0.0363,0.2112,0.0546,1.1723,0.187,-0.4756,0.6748,-1.7196,0.9418,0.6111,-0.1806,0.7555,0.6714,-0.2816,1.0786
TCGA-AA-3814-01,-0.7335,0.0515,-0.722,-0.3703,0.8273,0.5387,0.3712,-0.3811,0.6064,-0.6666,-0.1427,0.6715,0.7553,-0.5688,-0.7537,-1.0705,0.0275,1.2347,0.2844,-1.6609,0.5967,-0.2946,-0.5441,1.2471,-0.322,1.1652,0.814,0.1364,0.2779,-0.3092,-0.1618,0.0855
TCGA-AA-3815-01,0.2045,-0.1203,1.0719,-0.7554,-0.0137,-1.443,0.1486,0.1879,-0.1437,0.2328,-1.276,-0.6544,-0.0955,0.0945,-0.3967,0.298,0.0614,-1.5172,-0.3002,0.5973,0.1144,0.1925,-0.8439,-2.0342,-0.0584,0.0563,1.0927,0.0699,-0.1275,0.4135,-0.2678,-0.1374
TCGA-AA-3818-01,-1.0034,0.6251,-0.2745,0.6825,-0.0223,1.4638,-0.8988,-0.1112,-0.1085,-0.6831,1.0643,0.6047,-0.0144,0.2824,-0.0551,-0.0393,-1.1084,1.6294,-0.471,-0.8083,1.2563,0.5736,-0.746,0.3066,-0.2259,-1.3182,1.6423,0.8519,-0.1075,-0.5489,0.0312,-0.3057
TCGA-AA-3819-01,1.9446,0.2211,-0.6421,0.1686,0.252,0.763,-0.0613,0.8308,0.0694,-0.9616,-1.5282,0.8269,-0.097,0.178,0.6928,-0.4518,-0.4735,0.1996,0.509,0.0423,0.665,0.3646,0.9818,0.8008,0.5729,0.3929,0.6,-0.8172,0.9883,-0.3479,-0.7025,0.6933
TCGA-AA-3821-01,0.0707,-0.5815,-0.6437,-0.8607,0.0271,0.143,0.5784,0.4802,0.7581,-0.6869,-0.5064,0.0577,-0.59,-1.0888,1.1276,1.9862,-2.2972,-0.8842,0.552,1.0183,1.0227,0.9252,1.7154,0.0965,-0.8215,0.2561,-0.1859,0.6056,0.0967,1.104,0.3019,-1.0433
TCGA-AA-3831-01,-0.3616,-0.061,-0.4285,2.0274,1.399,-1.0274,-0.2988,1.1314,-0.792,0.5589,-0.1109,-0.591,0.0734,-0.7793,0.5494,-1.1775,1.027,-1.6566,0.731,0.1884,0.6496,-1.7176,-0.1562,1.2819,0.2376,0.9997,-0.5531,0.5579,-0.3244,-0.2713,-0.09,1.1015
TCGA-AA-3833-01,-0.6035,-0.2977,0.8611,-1.095,2.5307,-0.4698,0.5074,1.0623,0.6886,-1.0193,-0.7769,0.7695,-0.8925,1.3611,0.0803,-0.2357,-0.2488,0.1115,-1.4459,-0.9267,0.5994,1.1665,-2.4876,0.0252,-0.7173,1.0725,0.4562,0.7336,1.1367,0.0996,0.836,-0.2315
TCGA-AA-3837-01,0.3044,0.5053,-0.5239,0.212,-0.2808,0.4345,-2.6203,2.053,-0.4057,-0.9248,1.0669,0.7863,-0.475,-1.1575,-0.5683,-0.5923,0.1761,1.0778,-1.6931,0.0006,0.4818,-0.5678,0.0952,0.3118,-1.0052,0.4047,0.3965,1.472,0.9408,-0.2127,-0.7489,-0.1378
TCGA-AA-3841-01,-0.4214,-0.1968,0.6252,0.0202,-0.1976,0.3397,0.8996,0.9111,-0.0091,0.6523,-0.1774,1.0096,0.326,0.6129,-0.456,-1.7761,0.2385,0.3577,0.3243,1.0872,0.1976,-0.2263,0.582,0.2449,-0.3978,0.3766,1.3058,1.0555,0.2806,-1.4249,-0.2823,0.5395
TCGA-AA-3842-01,-1.8488,0.0062,0.2631,2.7585,1.8153,0.3509,0.6002,-0.0762,0.509,0.7497,1.6172,0.6274,0.1686,-1.1921,-0.7913,-1.4647,-1.4093,0.2871,-0.1789,-1.5979,-0.8618,0.6413,-2.1072,-0.6327,-0.2701,-0.5336,0.36,-0.303,0.4,-1.4603,-1.5516,-0.4661
TCGA-AA-3844-01,-1.0742,-0.5686,-0.4262,0.4627,0.1147,0.0633,-0.0571,1.0351,0.2523,0.1075,0.2006,0.2589,0.0678,0.5053,-0.2347,0.2052,1.4835,0.4936,0.7541,-2.7601,-0.0012,1.0602,-0.358,-1.58,-0.2664,-0.7508,0.0828,-0.248,-1.0273,-0.4707,0.1967,-0.8226
TCGA-AA-3845-01,1.0268,-0.5667,-0.9247,-1.2258,3.2588,-1.6518,-1.8285,0.379,0.2024,-1.1615,-4.0943,0.4922,-0.2658,1.2859,-1.2833,1.4628,-0.426,0.1418,-0.5683,0.6841,0.6045,-0.0475,-0.4459,-0.7625,1.3498,0.4663,0.3176,0.2671,0.8349,2.2956,2.2686,-0.4001
TCGA-AA-3846-01,1.209,0.3097,0.2361,1.2833,1.8026,-0.4873,0.244,0.0522,0.0687,-0.263,0.9203,0.7851,0.0912,-0.2627,-2.2325,-0.7653,1.2702,0.4776,-0.5468,0.0286,0.5404,-0.6861,1.9528,1.227,-0.7368,-1.6109,0.2366,1.0051,-0.1226,1.1543,0.201,-0.1523
TCGA-AA-3848-01,-0.4889,0.0675,-0.9132,0.3114,0.2628,0.7981,-0.2537,1.6586,-0.5479,0.8158,0.7936,-1.2565,-0.6201,0.0078,0.483,-2.2083,-1.1112,-0.9552,0.8042,0.4952,0.103,-0.1549,2.1177,-1.8975,1.3554,-1.0805,-1.0618,-0.7043,-0.4574,-2.4953,-1.323,-1.1362
TCGA-AA-3850-01,0.6258,1.1629,0.6595,0.189,-0.2351,-0.7632,-0.735,1.4047,-0.473,1.0233,-0.647,0.0671,-0.373,0.6164,-0.0895,0.1078,1.428,0.4982,0.3686,-0.192,0.6609,0.0105,-0.1528,1.191,-1.0583,1.5788,0.3249,0.7015,-0.1686,0.9434,-0.6023,1.0026
TCGA-AA-3851-01,-0.1976,1.1456,0.0768,0.9666,0.3557,-0.1939,1.921,0.0007,0.279,0.6472,0.0324,0.389,-0.0227,0.3986,-0.2223,-0.3375,0.1595,0.7627,0.5728,-0.6813,0.7904,0.0675,-1.4063,-0.0577,-0.9833,0.9959,0.7354,0.5597,-0.0824,1.1733,-0.4906,0.2581
TCGA-AA-3852-01,-0.6984,0.7981,0.0209,1.518,-0.776,0.3681,-0.2315,-0.1394,-0.5512,0.617,-1.2641,0.3228,-1.1937,-0.1824,-0.5802,-1.0249,0.1977,0.2096,-0.0163,-0.2754,1.4886,0.0893,-0.5891,0.8866,0.0519,-0.7707,0.1492,0.9432,-0.0786,-0.6519,0.6343,0.1415
TCGA-AA-3854-01,-1.501,0.3767,0.0099,0.9911,0.161,-0.7633,-1.3679,-1.0809,0.4044,-0.3293,-2.461,0.0438,0.0556,0.8946,0.0114,-1.0746,-1.1469,-1.5903,0.4193,-0.2874,1.5973,1.3895,-1.0615,0.4907,-1.1723,-1.1825,0.4559,0.3446,-0.8559,0.8849,-2.0697,-0.0719
TCGA-AA-3855-01,0.125,0.1906,-0.4551,1.102,0.3266,0.7434,-0.3253,-1.8372,0.5428,-0.1489,-1.8032,2.0055,1.8149,0.5077,0.584,2.1333,0.4111,1.0317,0.3151,0.3309,0.7584,0.8806,0.3817,1.2693,-1.6876,0.814,0.3404,0.5001,0.3122,-1.19,-1.9594,0.799
TCGA-AA-3856-01,0.2824,-0.012,0.0023,2.9868,1.5468,-0.6955,0.8784,0.0994,0.3641,1.2754,2.4767,0.3311,1.3041,0.0403,0.3031,-0.9234,-0.0287,0.8331,1.8161,-1.3519,0.2378,-0.5969,-0.7277,0.1178,-2.3384,-0.153,-1.7681,-0.2471,0.0093,-1.3969,-2.0755,0.871
TCGA-AA-3858-01,-1.9859,1.3429,-1.0953,3.8642,0.0845,0.2645,0.112,0.9344,-0.9219,-0.728,1.5739,-0.4333,-0.6221,-1.4156,0.156,-1.8673,-0.3666,0.1154,0.9776,-0.6852,0.2143,-0.6824,-0.7398,0.2677,0.4379,0.207,0.5527,-1.4001,0.4051,-1.5419,-0.733,0.0567
TCGA-AA-3860-01,0.5254,-0.8319,0.9261,1.0435,0.2356,-0.0571,-2.1078,-0.5819,0.3901,-1.0867,-0.1071,1.4975,-0.5137,-0.7081,-2.7866,-0.2329,1.4045,0.6384,-2.1541,0.2687,-0.4296,-0.1041,-0.2119,-1.3452,-1.199,0.5149,-0.1224,0.9166,0.3865,-1.0384,-1.3716,0.5644
TCGA-AA-3861-01,-2.7687,1.0887,-1.5443,0.6275,-0.8109,1.0717,-0.4021,0.5235,1.1039,0.9348,-0.1629,0.47,-0.5655,0.451,0.1889,-0.5837,0.3781,0.7312,-0.652,-0.9536,1.2497,0.9664,-2.4486,1.9553,-0.5884,-0.2987,0.4515,-0.07,-2.0509,0.2817,-2.2098,-0.5822
TCGA-AA-3862-01,-1.3375,0.3181,0.7122,0.8058,-0.1915,0.2506,2.3562,0.7953,0.5042,0.7521,0.973,-0.2273,-0.3248,-0.1224,0.1579,-0.8067,1.9618,-0.1039,-0.243,-0.4251,0.5942,1.6857,-1.3834,-0.4721,-0.9707,1.1421,2.6685,-0.0517,0.099,0.0106,-2.511,0.3856
TCGA-AA-3864-01,-1.4648,0.0342,0.3428,-0.594,0.1929,1.0806,-0.2251,0.5123,0.058,0.5719,0.8907,-0.5282,-1.1238,-0.4612,0.8532,-0.265,-0.3661,-1.4142,-0.9453,1.0346,0.5026,0.0239,-0.2822,1.5477,0.9106,-0.1349,0.9155,0.2194,-0.0488,-0.7632,0.8861,-1.31
TCGA-AA-3866-01,-0.485,0.0798,1.1523,1.068,1.3882,-0.3967,-0.065,-0.8674,-0.2764,-0.037,1.2598,-1.2965,-1.8358,-1.9495,1.0598,0.6512,1.1594,-0.2313,0.0882,0.049,-1.4053,0.2557,-1.0396,-1.2862,-0.2482,-0.0271,1.4002,-0.2993,0.5412,0.6286,0.6626,0.8882
TCGA-AA-3867-01,-1.106,0.1463,-0.2741,1.2883,1.6472,0.7333,0.8159,0.2609,1.2081,1.8914,0.9648,1.1784,0.1149,0.1896,1.3174,-1.4992,-1.2274,1.0925,0.7601,0.1646,0.1828,-0.9852,-1.8506,-0.0919,-1.8993,1.0174,1.478,0.3643,0.8634,0.2306,-0.6967,0.3373
TCGA-AA-3869-01,0.1755,-1.2724,0.3489,1.3417,0.6231,-0.5997,0.3892,-1.168,-0.2095,0.7133,-1.1758,0.037,1.0012,1.6495,-0.3419,0.9346,-0.1347,1.0379,-0.0976,-0.4215,-1.0484,0.3599,-1.7049,-0.5316,0.0888,0.357,-0.2388,-0.8438,-0.8844,2.2231,0.5065,-0.1372
TCGA-AA-3870-01,-0.5733,-0.476,1.0952,0.5421,2.8833,-0.1775,1.9857,-0.9078,0.7283,-0.4866,-0.0465,-0.4205,0.8676,1.0102,-1.4074,-0.729,-2.5708,1.4108,-1.1954,-0.0414,-0.1241,-0.238,-1.7312,-1.9444,-1.669,0.5117,1.3549,1.1317,0.9008,-2.061,-0.2954,-1.257
TCGA-AA-3872-01,0.8952,-1.102,0.3812,-1.1309,1.5515,-0.6814,0.3738,-2.7515,0.0401,-0.0019,-0.0256,0.9525,0.2359,1.2713,-0.8839,-0.2899,-1.7101,0.0859,-0.992,0.1117,-1.6455,-0.9137,-0.3028,-0.6472,-1.463,-1.2792,1.8534,1.4706,2.245,0.2265,-0.2591,1.1101
TCGA-AA-3875-01,0.7317,0.3738,-1.0126,0.0322,0.5924,0.3249,-0.5007,0.4291,0.1168,-0.3472,-0.273,0.9698,-0.1366,-0.7075,3.8369,0.0388,-0.5299,-0.9621,-0.2535,-0.3837,0.6278,-0.2065,0.4623,-1.3606,0.4411,0.566,-1.0445,-0.3457,-0.1028,-1.6523,-0.7221,0.8846
TCGA-AA-3877-01,0.8102,-0.46,0.0437,-0.209,1.5061,0.5197,1.1127,0.7769,0.2227,-1.5794,-0.1221,-0.4171,-0.2951,0.2904,-0.7754,2.232,1.0756,-0.9953,0.3678,-0.4069,0.2887,1.4673,-0.909,-0.5255,-0.8811,0.4451,0.4708,-0.5878,0.5881,0.4597,-0.4391,-0.3963
TCGA-AA-3930-01,-1.5361,-1.1633,0.29,0.1796,-1.6808,1.4477,1.9284,1.1188,1.6783,0.7021,0.1001,-0.5833,-2.5593,0.8024,-0.4975,-0.4131,0.9712,0.4214,-0.8239,0.0661,0.0335,0.2188,1.1192,-0.4454,0.6069,-0.7528,0.0676,-1.2158,0.0423,-0.8555,-2.1895,0.0975
TCGA-AA-3939-01,-1.4192,1.0793,-0.6518,-0.4222,0.4379,0.3448,0.782,-0.4827,1.0111,0.2482,0.8268,0.9107,-0.951,0.6709,0.0984,0.066,-0.8411,0.6105,-0.0037,-0.5587,0.1732,0.6658,-1.2796,0.3374,-0.4096,0.2967,0.6068,0.7611,-0.7619,-1.7314,0.717,-0.3774
TCGA-AA-3941-01,-0.4702,1.4995,-0.989,1.0975,1.6536,1.1269,0.0171,-1.8299,0.704,-1.2404,2.3097,0.4876,1.7987,1.5108,0.9235,-0.5385,-1.5459,2.1587,1.3189,-1.0524,-0.4553,0.7516,-2.7415,-2.4906,-0.9411,-1.0809,1.7198,0.0859,0.0185,-1.9028,-0.5298,-1.2115
TCGA-AA-3947-01,0.5348,0.1682,1.6078,-0.5751,0.1474,0.848,1.303,0.8187,-1.1756,1.199,-0.3346,-0.069,-0.5129,0.3064,-1.5056,0.9726,0.1173,-0.7914,0.0118,-1.3659,-0.1179,0.2105,-0.803,1.5432,-0.3747,-1.0563,0.1507,-0.9942,0.1489,1.3702,-0.1335,-1.0863
TCGA-AA-3949-01,-0.4472,-1.0977,-0.0971,-1.5145,-0.7005,-0.7877,-0.0518,0.3499,0.3097,-0.4155,-2.4765,0.0841,-1.9785,-0.5415,-0.6704,-0.2771,-0.1261,-0.6949,-0.2506,0.2567,1.034,0.1753,-1.7387,0.6687,0.1528,-0.0328,0.6778,0.0148,0.7706,-0.0488,0.6219,0.3498
TCGA-AA-3950-01,-1.716,-2.4419,1.3876,-1.013,0.0653,2.0936,-2.4719,0.0342,-1.4104,0.7666,1.6952,-0.6407,-2.1699,0.5294,-1.8729,-0.1152,0.2358,-0.6471,-1.8534,-1.2744,-0.8359,-0.7106,-3.682,-0.8143,0.6645,-0.0905,0.8801,0.4506,1.2114,0.603,-0.246,-0.0932
TCGA-AA-3952-01,0.5869,0.6785,0.3628,0.8558,-1.1474,1.5786,0.5069,-0.7206,-0.6212,0.7113,-1.3741,0.1231,-0.4268,-0.4511,-0.8709,-1.6746,-0.7435,-0.0732,-1.3657,-0.461,-1.1692,-0.1762,-0.3829,-2.1538,-2.1247,0.9649,-0.2423,0.4841,1.2013,-1.3013,-0.5501,-0.7321
TCGA-AA-3955-01,0.0586,1.1503,-1.0298,1.3722,-0.2398,-0.931,0.5615,0.4029,0.9107,0.9849,0.6149,0.1523,-0.6359,0.3436,-0.8087,-0.5509,0.4196,-0.5737,-1.188,-1.7846,-0.8876,-0.5723,-1.0357,1.5244,0.5867,-0.035,0.993,-1.6029,0.0858,2.4769,0.6785,0.5389
TCGA-AA-3956-01,0.2874,0.1953,0.4935,0.5786,-0.7471,-0.1973,-2.8514,-0.4536,0.8131,-0.01,0.9584,1.3304,-0.3287,0.5139,0.2693,-0.0458,-0.2819,0.1347,-1.1503,0.0924,0.8816,0.9993,1.1571,0.8983,-0.3488,0.0855,0.5187,0.035,1.0249,-0.0957,0.0827,0.5134
TCGA-AA-3966-01,-1.0199,-2.4473,2.1966,-0.8952,-0.1838,0.52,-1.6684,-1.9232,-0.7145,-0.7783,0.2903,1.4546,-0.8055,0.9901,-1.9768,1.8761,1.5799,-0.05,-1.0881,-0.9192,0.2294,-0.6419,-0.3647,-2.2226,-1.1998,-0.823,1.4219,1.7463,2.3872,-0.0331,0.1364,0.2549
TCGA-AA-3968-01,0.4355,-0.6617,-0.1884,-0.2554,-0.2756,0.6109,-2.5392,0.2288,0.482,-0.25,1.7111,0.3345,-0.063,-1.4484,-0.5239,-0.2312,0.3118,0.8999,-0.7299,0.1867,-0.0423,-0.1666,2.5928,0.5715,0.2943,0.6394,0.5699,-0.6154,0.9787,0.8708,0.3585,1.5387
TCGA-AA-3970-01,1.8585,0.8033,-1.4348,1.5699,-0.2875,-1.0642,-0.5389,0.9797,0.0234,0.9612,-0.5587,-0.027,0.7506,-0.1798,0.2028,0.1178,1.0632,-0.4837,0.1065,-1.0622,0.3303,-0.6439,0.506,0.7748,0.4208,0.7368,1.2289,-1.3323,-0.5317,0.0081,-0.1241,0.6263
TCGA-AA-3971-01,1.0576,1.1313,0.1121,0.1001,-0.3277,0.3747,0.1878,0.6616,0.5491,0.5911,1.0582,0.9187,-0.4007,-0.9874,-0.1673,0.3336,-0.4236,0.5193,0.5226,0.0795,0.8128,-0.5264,-0.3966,1.3814,-0.4667,-0.1663,1.169,-0.1686,0.3573,0.1968,-0.5407,0.0786
TCGA-AA-3972-01,2.0401,-0.3651,0.6348,-0.5501,-0.1968,0.3775,0.2164,-1.166,-0.4332,-0.9265,-0.7072,0.8644,-2.5371,0.7403,-0.6587,-0.5561,-1.2215,0.9704,0.5287,0.7633,-0.5066,-0.266,1.1745,0.2091,-0.0171,-2.1553,1.371,-1.174,0.15,0.7398,0.6285,-0.414
TCGA-AA-3973-01,1.1185,-0.8839,-1.0173,0.0247,-2.0924,-1.2008,2.0737,0.0547,-0.6193,-0.5285,1.3861,0.8172,0.0813,-0.3382,-0.0113,-2.0302,-0.6782,1.9681,0.4996,0.192,-2.8208,0.0486,0.7427,-0.6282,-0.2579,1.0256,-0.5925,-0.3475,0.1932,0.7168,-1.0407,0.4137
TCGA-AA-3975-01,2.6353,-0.6526,-0.7609,-0.0512,-0.1987,0.8379,0.7321,-0.8674,0.6609,0.5777,0.1924,2.2988,1.2594,1.1221,0.7671,-0.4932,0.2823,0.9688,0.8997,1.2226,0.419,0.3599,4.2108,0.3489,-0.0475,1.4752,0.7129,0.6524,0.6426,-0.193,0.1865,0.3598
