Patient_ID,NPHP3,SAMD13,STC1,THEM6,TNFRSF12A,ASNS,FAM89A,ACAT1,HPGD,SLC7A8,TRIB3,APPL2,LRRC75B,BAMBI,FGFR3,DMXL2,CCL20,SERPINE2,CDK10,SON,FCGBP,IQGAP2,LUC7L3,BCKDHB,LYAR,NAAA,SKAP2,BHLHE40,IGFBP5,SNX14,HOMER1,PAPLN
TCGA-AA-3976-01,-0.0412,1.1562,-0.6754,2.6172,1.9765,0.7334,0.4867,-0.1404,-0.7652,-0.5187,3.4062,0.9215,0.2054,1.247,0.1493,-1.3201,-0.4589,1.5848,0.6916,-0.7983,-0.361,0.2721,-1.1503,-0.3097,-0.127,-0.9037,-1.0583,-0.4704,-0.1881,-0.7278,-1.1691,-0.1085
TCGA-AA-3977-01,-0.9979,0.7851,0.1054,0.8053,0.9255,-0.3111,-1.2936,0.7409,-0.597,1.2307,1.1292,0.0674,-0.8118,-0.5928,0.0999,-0.863,0.1531,-0.8659,-1.1043,0.0745,0.9573,0.1875,-1.314,0.1015,1.7273,-0.3638,-2.0254,-0.9112,-0.8405,0.327,0.7119,-0.9565
TCGA-AA-3979-01,0.3795,0.2502,-0.0735,3.656,2.5626,0.4163,-0.5553,1.1333,0.817,0.7577,2.494,1.1863,-0.2299,0.5833,0.8058,-1.6508,0.353,0.44,-0.4822,-0.9827,-1.0731,1.2213,0.0333,-1.5375,2.1741,-1.8828,0.4819,-1.0892,-1.881,0.6385,-0.4906,-0.5075
TCGA-AA-3980-01,0.0471,0.7844,0.242,2.388,0.5488,-0.8916,-0.1901,1.2374,0.3228,1.3205,1.6559,0.2168,0.0097,0.2872,-0.522,-0.7708,1.5503,0.4959,0.6816,-0.0884,0.0001,0.4573,-0.1535,-0.3855,-0.0049,1.0349,-0.0864,0.1139,-0.6941,0.655,0.2671,0.7952
TCGA-AA-3982-01,-0.4817,0.8341,0.1652,2.2242,0.7599,0.2244,-0.417,0.7618,0.1972,0.8908,1.6535,0.451,0.0987,-0.9222,0.2345,0.1948,-0.3939,0.4614,-0.2684,-0.929,0.2868,-0.0176,-0.7976,0.1691,0.6114,0.8277,0.1279,-0.691,0.3968,0.1136,0.5515,1.0722
TCGA-AA-3984-01,-0.4817,-0.9329,1.5923,0.4722,-0.1527,0.1493,-1.3482,0.5891,-0.3463,-0.3327,1.1198,1.3599,0.1959,-1.5522,-0.1692,-0.0341,1.4631,-0.4361,-0.2632,3.3796,-0.924,-2.3213,0.4466,-1.4619,2.7588,-0.8238,0.0869,2.787,0.6782,-1.064,-0.1408,0.3898
TCGA-AA-3986-01,0.8102,0.3161,-1.7276,0.2919,-1.3796,-1.0869,-0.1265,-1.3567,-0.2998,0.8868,-0.6367,1.2551,0.9941,1.6243,1.7153,0.2311,1.2121,-1.4856,-0.1118,1.6859,0.5708,-0.8929,0.0411,1.5975,-0.5774,-0.0384,0.4006,0.1722,-0.3843,0.5635,-2.4906,1.9296
TCGA-AA-3989-01,-0.0303,0.162,-0.2472,2.1298,0.4137,0.2385,0.4003,-1.329,-0.7944,-1.4883,1.5289,1.6728,-1.1886,-0.6935,0.4572,-0.1653,1.1878,-0.3575,0.1039,0.6444,0.1655,0.7583,0.0484,1.2466,-0.2636,0.6485,-1.0521,-0.8208,0.2183,0.9359,-1.2852,0.1502
TCGA-AA-3994-01,-0.897,0.3646,0.7064,-3.4757,0.5951,1.5492,1.7339,-1.364,0.5879,-0.5417,0.058,-0.5117,-0.4647,0.8189,-1.0967,-0.2464,-1.5855,-1.6285,-1.8211,-1.3345,1.4318,-0.6476,-1.0051,-0.0225,-1.4155,-3.1019,1.2669,0.1446,0.0113,1.0711,-0.0196,-1.1812
TCGA-AA-A004-01,-0.3413,-1.4414,2.1274,1.8781,0.5752,1.4466,-0.7806,-1.6037,0.2266,0.0374,1.0137,0.6615,0.7486,0.133,-1.1683,0.0992,0.1926,-1.5902,-0.6562,0.1226,0.7549,0.106,0.037,-1.5096,-0.9002,0.5101,1.2818,-1.7327,0.8428,-0.0381,0.6256,0.3699
TCGA-AA-A00A-01,0.7657,-1.3468,0.7417,0.7863,-0.0631,-3.7761,1.2123,1.3682,1.0787,-1.3449,0.6514,-0.7402,1.1333,-1.229,0.3065,2.0121,0.8457,0.1734,-0.2165,0.9385,1.0348,1.3027,-0.3605,-0.4647,-0.1987,1.5918,-1.155,1.0932,0.9642,1.5803,-2.3274,2.3016
TCGA-AA-A00D-01,0.4355,-1.4187,-1.1808,1.6344,-0.5524,0.4991,-0.2744,0.186,-0.1048,0.1699,-1.9132,0.5851,1.2108,1.8692,-2.3992,0.7848,-0.0882,0.3337,-0.2254,1.4726,-1.5779,-0.263,0.4989,-0.5999,0.0786,0.0117,-0.0151,-0.1792,1.1665,0.463,1.2047,0.9264
TCGA-AA-A00E-01,-0.3265,-2.3801,0.6189,-0.4687,0.406,2.0505,0.1639,1.5472,-0.0327,-0.5397,0.9107,0.1674,-1.0174,-0.3173,-0.4404,1.632,-2.0227,-1.4039,-0.3101,2.2916,0.9184,1.1786,0.1431,-1.4667,0.9025,0.2929,0.7506,0.8244,1.0727,2.762,1.2359,-1.3243
TCGA-AA-A00F-01,1.6451,-0.3643,-0.1959,-1.1474,0.738,0.3424,1.7344,-1.6884,1.2172,1.3179,-0.2793,0.5356,-0.2405,-0.058,-0.1534,-0.439,-0.671,1.4621,2.5419,0.5803,1.1662,-0.5361,0.2336,-0.1297,-0.4639,1.337,0.0811,-0.4888,1.3774,-0.3784,-1.0893,1.0559
TCGA-AA-A00J-01,-0.7242,-1.9797,2.0514,0.5157,-1.3233,0.5416,0.9574,1.1367,-0.6881,-0.4428,0.4034,-0.6228,-0.5031,-0.3712,-0.0095,0.3091,-0.7334,-0.7557,0.2251,0.1523,1.1258,0.5475,-0.0557,0.0318,-0.1006,-1.4646,-0.7469,-0.2934,1.5356,-1.2477,0.7235,-1.4493
TCGA-AA-A00K-01,0.5331,-0.7497,-0.8129,1.4136,-0.4878,-0.7613,0.9325,0.4977,0.2796,1.1584,2.4102,-0.3071,0.0627,-1.7747,0.4451,-1.2369,1.3569,0.8134,1.7185,0.199,1.4784,0.642,-0.19,-0.4728,0.9127,-0.3815,-1.5933,0.995,-0.2177,-1.153,0.8977,-0.2759
TCGA-AA-A00L-01,-0.5009,-1.0806,0.2352,-0.8388,-0.5751,1.6271,-1.5364,-0.6739,0.4956,-1.9071,2.5182,0.1864,0.7213,-1.3249,0.3641,-1.1171,0.5118,0.2952,0.5242,-0.4744,-0.3878,-2.57,2.4851,0.123,0.2846,1.1009,1.9364,-0.8562,-0.1894,0.299,0.8346,-0.8644
TCGA-AA-A00N-01,0.7295,0.4068,1.9129,0.3648,-0.4586,-0.6032,-1.0742,-0.3918,-0.1253,0.4316,-1.2004,-0.4134,0.0635,-0.1786,-1.507,0.6398,-0.8395,-0.6433,-0.7255,0.5624,0.6849,0.6592,-0.8377,0.6434,-0.9667,-1.3375,1.3839,1.1716,0.6478,-0.8835,-0.3643,-0.1404
TCGA-AA-A00O-01,0.4333,-1.1736,1.0889,-0.9621,0.0001,0.1144,-1.6583,1.5433,-2.3779,-0.6576,0.4851,0.3262,0.6494,1.2848,3.3064,-0.4618,-1.9729,1.0206,2.1202,1.5168,-2.2102,-1.4488,-0.2156,0.7531,-1.5619,0.1537,0.5646,-1.6749,1.8689,0.7316,-0.4935,-0.8642
TCGA-AA-A00Q-01,1.0389,-0.4326,0.1174,0.229,-0.0753,-0.4848,1.3109,0.1582,-0.0984,0.1469,-0.0936,1.1423,-0.0705,-1.9944,0.3476,-0.2999,-1.3408,2.5434,0.8215,0.2256,-0.7991,0.3212,0.1356,0.5122,-0.6176,-0.2367,-2.2719,0.0997,0.9854,0.8206,0.2591,0.2149
TCGA-AA-A00R-01,1.4844,-1.6184,-0.0436,0.9457,0.1988,-0.4175,-0.5696,1.2389,0.6007,-0.5091,-0.9538,0.0347,-1.4432,-2.2807,-0.8429,1.1942,-0.3289,-1.28,-0.456,1.9507,-2.4939,1.4455,0.3952,0.3417,0.8482,0.6604,0.3085,-0.0952,0.5633,1.0348,1.2526,1.3182
TCGA-AA-A00U-01,0.6993,-0.858,0.9079,1.3921,1.6029,-0.0257,0.244,0.1899,-1.8194,-0.0231,1.179,0.2788,-2.4968,0.8962,0.2882,-0.9313,0.8444,-0.4373,0.5693,1.7533,0.3473,0.341,0.1699,-1.4293,2.6898,-2.0809,1.2424,0.2905,0.7201,-0.0611,2.082,-0.8319
TCGA-AA-A00W-01,0.0059,-0.2784,-1.0332,-0.2884,-0.0584,1.4858,-0.1657,0.6504,-0.5153,-0.6976,0.3418,0.5402,-1.1305,-0.3757,-0.2805,1.0682,1.714,0.9816,0.079,2.068,-0.3594,0.7859,0.93,1.0591,1.28,0.1807,-0.4326,0.096,-2.6642,0.7728,1.0153,-1.1151
TCGA-AA-A00Z-01,0.1897,0.2711,-1.3033,0.0857,-1.3646,0.5444,-1.2693,0.1388,-0.6348,-1.4349,0.4711,-0.3293,-0.783,-0.8401,-0.3886,-0.331,1.4827,-0.9484,-0.1816,0.1783,-0.2794,0.1743,1.5521,0.3534,1.1073,0.9607,-0.8767,-1.257,-0.0504,-1.0532,0.2141,-0.203
TCGA-AA-A010-01,0.9429,-2.1717,1.4744,0.0517,-0.4337,2.4079,0.5116,-0.1574,0.7383,1.1787,2.828,-1.3411,-0.3145,0.3475,-0.0448,1.0385,-1.3798,0.3309,0.1236,-0.1604,0.0566,-0.5782,-0.1882,-1.4368,0.5737,0.3341,1.2508,-0.9236,-0.8136,0.3023,2.4681,-1.2156
TCGA-AA-A017-01,0.6911,-1.0326,0.4938,0.0822,-0.1108,-0.5987,0.765,-1.3523,0.1039,1.5828,0.5203,0.0733,2.2162,-0.8945,0.6978,-4.3229,0.7143,1.0477,1.225,-1.3858,-1.7956,-0.0816,0.84,0.1836,-0.1931,1.4299,1.0351,-0.5424,1.6753,0.3715,-1.2279,0.5558
TCGA-AA-A01C-01,0.2128,-0.133,0.4814,1.0226,1.2916,-0.7619,-1.5597,-2.3109,-0.6099,0.6219,1.7303,-1.2158,-0.9795,-1.33,-0.7896,-3.2216,-0.3115,0.3119,-0.0785,-2.3402,-0.2039,-1.9865,0.2792,-1.0921,-0.7786,-0.291,-0.1449,-0.3126,1.1052,-0.6536,0.4492,-0.0677
TCGA-AA-A01D-01,-0.0259,0.1405,-0.3065,0.2325,0.1743,-1.618,0.4809,-1.3411,0.4679,-0.6259,-2.1252,0.3572,0.2121,-0.7635,-0.3472,-0.2927,-1.7033,0.8783,1.4024,0.4482,-0.1133,1.0135,-1.7485,-1.63,-0.6431,0.0171,0.3115,-0.1186,1.5852,-1.7537,0.1371,0.1614
TCGA-AA-A01F-01,0.5243,-1.991,-1.73,0.0957,-0.736,-0.3625,0.7035,-0.6009,-0.4766,-3.3762,-0.168,0.6519,1.7287,0.8813,-1.4099,1.8195,1.6358,1.3212,0.1409,0.4985,-1.0333,2.0592,-0.8519,0.0223,-0.1935,-2.1733,2.1235,1.7449,-1.7547,2.0632,0.7453,-1.6027
TCGA-AA-A01G-01,-2.0858,-0.0548,0.3901,0.8438,-0.0956,1.2177,-1.5179,-0.4754,-0.1584,0.5467,1.6891,-0.1554,-0.679,0.7126,-0.2145,-1.9218,-1.1613,0.1265,-0.423,0.189,0.7454,0.1878,2.0698,-0.6983,1.4909,-0.1142,0.4138,-1.2873,0.0441,-0.9552,1.9202,0.3785
TCGA-AA-A01I-01,-0.2327,-0.0205,0.7672,-0.9461,-0.0703,1.0456,-0.6035,0.648,-1.6393,-0.4821,3.1423,0.1089,0.7241,-1.0786,0.1771,-0.8447,-0.3372,1.8166,-1.3998,-1.1431,-0.0948,-0.3146,-1.0492,0.1456,0.1771,0.3969,1.0763,-0.8594,-0.2441,1.7608,-1.159,-0.2725
TCGA-AA-A01K-01,1.8782,-2.2747,0.471,0.1496,0.0884,-0.1909,1.1668,-0.0523,-0.8681,0.1966,-1.3507,-0.4211,2.4644,0.0831,0.11,-0.3372,-0.9338,0.4825,-0.736,-1.4247,-1.8204,0.0965,0.5349,-1.0023,-0.9533,-1.0439,0.8713,0.0043,1.4638,-0.1139,1.2337,0.4095
TCGA-AA-A01Q-01,3.2321,-0.3201,0.6455,-0.9586,-2.3199,0.2259,-3.0565,-0.1608,-2.219,0.5138,-2.3758,-1.1258,0.6537,-2.4686,-0.47,0.4389,0.1884,-1.816,1.3879,-1.0362,1.8837,0.9473,1.3453,1.6228,-1.1873,-0.2946,1.8183,0.4932,-0.1087,-3.8022,0.3302,0.5616
TCGA-AA-A024-01,-0.3863,0.7575,-0.8972,-0.5885,-0.6387,-2.1315,-1.8178,-1.4982,0.3705,1.5872,-1.3371,0.7075,1.38,0.3603,0.273,0.4834,0.5143,1.6649,-0.101,-0.6544,2.5211,1.6397,-1.0784,0.9673,-2.4381,1.3571,0.8012,3.3081,-1.2079,1.5894,-1.4536,-0.6082
TCGA-AA-A029-01,-1.8554,-0.2718,-0.1666,1.5764,-0.255,0.739,0.1496,0.2365,1.0598,-0.7975,1.6308,1.3176,0.5134,-0.3291,-0.0234,0.0695,0.8942,1.7698,-1.3552,-0.6625,0.6173,1.6883,-1.0768,-0.1032,0.0036,-0.175,-0.8811,0.6281,-1.4418,-0.6824,0.9724,-2.1094
TCGA-AA-A02E-01,0.4454,-0.1411,0.8299,1.4151,0.5422,0.1164,-0.1917,-1.4928,-0.8874,-0.1346,2.6381,-0.9777,0.8601,-0.9348,-0.4244,-1.1288,-0.0896,0.8389,-0.9519,-0.0607,-1.605,-0.6799,0.2301,0.9806,-1.6114,-1.1873,0.783,0.9734,1.1926,0.8865,0.4158,-0.418
TCGA-AA-A02F-01,1.6785,0.2737,0.5774,0.3509,-0.0387,0.109,0.7449,-0.7551,-1.1712,0.4108,0.1355,-1.2039,1.053,1.1772,-0.9973,-1.985,-1.1803,0.234,-0.8916,-1.0661,-2.3165,-1.1159,-0.9409,-1.634,-0.6245,-0.3407,0.4749,0.745,0.4323,-0.4336,1.328,-1.059
TCGA-AA-A02H-01,1.1837,-0.2977,0.1545,0.3613,0.2004,-0.0206,0.3839,0.1237,-0.5942,-0.6559,-0.0769,1.5918,1.8576,-1.0369,0.8924,-1.5862,1.0274,-0.4693,0.3904,1.1406,-0.1272,-1.1521,-0.1966,1.6569,-0.0893,1.5979,-0.7908,0.13,0.1612,-1.5518,-0.897,-0.7883
TCGA-AA-A02J-01,-1.0989,-0.0783,-0.3912,2.5618,0.3799,1.9219,-2.3394,0.4432,-1.1217,0.0102,2.8704,0.2006,1.0499,0.4392,1.3119,-0.2916,0.9104,-0.4384,-0.2152,0.068,0.0021,-1.4295,-0.4172,-0.4396,1.4017,-0.6967,0.3989,0.468,-1.1131,-0.6816,-0.2083,0.6338
TCGA-AA-A02R-01,-0.6902,-1.6818,-0.0023,0.4393,0.0997,-0.6692,0.173,-0.134,-0.1041,-0.6605,-0.1793,-0.7709,-1.1004,-0.2655,-0.3763,0.8228,-3.4538,-2.3652,-0.6856,1.8009,-2.23,1.4593,-1.3645,-0.0756,0.2976,0.769,-0.984,0.0277,0.3887,-1.9275,1.2576,-1.1275
TCGA-AA-A02W-01,2.068,0.2947,-1.4073,1.0081,-1.1699,0.028,-0.8786,-0.2717,-0.2258,2.4786,1.6418,0.8312,1.1796,0.0201,0.6939,-0.6614,-0.5677,-0.0874,0.3099,-0.1855,-2.3201,-1.823,0.9612,-1.2065,-0.1286,-1.4874,-0.413,-0.3337,0.1216,-0.0001,0.3824,1.4858
TCGA-AY-4070-01,0.0795,-0.2802,0.4271,1.1644,-1.0209,3.4331,1.5097,-0.6768,0.5165,-1.4356,-0.0545,0.0765,0.8115,2.1184,1.4818,2.7264,-0.6282,0.0377,-2.1617,0.0569,-0.1522,-1.4811,1.7106,1.0894,0.0498,-0.0555,0.2135,1.5991,0.4157,-0.3273,1.4195,1.0993
TCGA-AY-4071-01,1.486,0.1464,0.3353,-1.092,0.8306,-0.1716,0.5148,-1.3717,1.6419,0.4752,-0.5282,1.0289,0.1667,-1.8506,-0.0034,2.0176,1.1149,0.8477,-1.5548,1.3156,-0.3213,1.2974,0.2735,0.7101,-2.5768,0.9673,1.9405,2.1623,0.2298,2.2585,-0.5472,1.5377
TCGA-AF-2689-01,0.0016,0.6772,0.4873,1.5909,1.1127,1.9742,0.5132,0.2852,-1.1142,-1.0519,0.5704,-0.7186,-0.4695,0.4569,1.1856,-1.0677,0.8841,-1.1601,0.0874,-1.1134,0.3853,-0.8681,-0.8055,-1.0156,-0.1201,-1.0133,0.1024,0.1754,-0.7382,-0.6824,-0.262,0.1156
TCGA-AF-2691-01,-0.4516,0.3559,-0.1179,3.3064,1.8192,1.0074,0.4703,-2.5501,-0.2247,1.1255,0.8048,-0.6688,1.4709,0.4234,1.3651,-0.6075,-0.3457,-0.0132,4.1557,0.4148,1.0702,0.4089,-1.1814,-0.9349,-1.283,1.0914,1.0304,1.4147,-0.0506,-0.9222,-1.9558,0.2459
TCGA-AF-2692-01,1.2474,-0.0282,2.6042,-0.0337,0.1791,0.1866,1.824,0.0444,-1.7809,0.3992,0.3767,-1.4073,-1.7547,-0.1377,0.5117,-0.9745,-1.0166,-0.2626,0.6355,1.6036,0.5767,-1.5052,2.486,-0.3733,0.7387,-1.074,0.5746,3.1549,0.6073,-0.6618,-0.1597,0.4113
TCGA-AF-3400-01,0.8414,-1.5603,3.3013,0.4852,0.556,-0.4421,0.9722,-0.5139,-0.4351,-0.9487,-1.2048,-1.061,-0.7154,-0.24,-2.4152,1.7356,1.3685,-0.7499,-0.069,-0.8587,1.5274,0.2324,-1.072,-0.1598,-1.2858,-0.2319,1.0704,0.9537,2.94,-1.3878,-1.4079,0.956
TCGA-AF-3913-01,0.4552,0.812,0.5534,0.1476,0.3577,0.3606,0.7936,0.1923,-0.1264,-0.8194,0.7376,-0.375,-0.4113,-0.4492,-0.3083,-0.5447,-0.1232,-0.441,0.3101,-0.2354,-2.6191,-1.3829,-0.6987,0.31,0.225,0.9226,0.2246,0.1763,0.3766,1.3191,-0.0595,-1.2254
TCGA-AG-3574-01,-0.1263,1.5827,0.5993,0.7818,-0.0589,0.3836,-0.1615,1.3575,-0.7124,-0.2002,-0.168,0.1438,0.8546,0.693,1.9208,-1.7516,0.7161,0.8855,-0.6596,-1.5708,-0.6153,-2.004,-1.4131,0.7341,-0.5572,0.1338,-0.1245,-0.2705,-0.3868,-0.043,0.0573,-0.205
TCGA-AG-3575-01,-1.6464,-0.6724,0.1681,3.1086,1.1993,1.7405,1.3014,-4.4814,-0.2294,1.4277,0.2022,-0.0179,0.5909,1.3742,-0.9337,0.5953,-1.3348,-0.4131,-0.3162,-0.5335,-0.802,-0.1317,-0.1788,-1.2366,0.1512,0.6147,1.0088,0.1304,1.0457,-0.7879,-1.4326,0.561
TCGA-AG-3578-01,-0.3896,1.7192,-1.0935,-0.0756,0.7754,-0.2873,0.6113,0.2847,-0.7859,0.9444,-0.5427,-1.1184,-1.8844,0.384,-0.7781,-0.3545,-0.5624,-0.0322,-0.2666,-0.4752,-0.6772,-0.3191,-0.556,-0.309,0.418,0.8967,1.2242,-0.4461,-0.8878,1.0208,-0.4405,-0.0243
TCGA-AG-3580-01,-0.0703,-0.2751,0.7645,1.2908,-0.125,1.8748,-0.4069,-1.5196,-1.2765,-0.8719,0.602,-0.6524,0.8411,1.8492,1.0212,-1.0877,1.3727,-0.3436,0.0719,-0.7322,-0.1108,-2.2696,0.0899,0.5518,0.4119,-0.2934,-0.4104,-1.1066,-1.4535,0.2322,-0.9877,0.4081
TCGA-AG-3581-01,-0.1548,0.3595,-0.5302,-0.9426,0.8942,-0.3337,-0.1779,-0.8227,1.1415,0.3707,-1.3498,1.1809,-0.9435,0.7976,0.4302,0.0122,-0.2927,0.6108,0.3211,-1.4692,0.4228,0.4417,-1.6659,0.087,-0.3994,-0.5724,1.7022,-0.9594,0.5143,-0.2218,-0.8084,0.0475
TCGA-AG-3582-01,-1.3485,0.0209,2.1324,3.4882,1.46,-0.2169,-0.2484,0.5327,-0.2528,2.1903,2.2894,-0.177,-0.0587,-1.572,1.592,-0.9579,0.5741,0.1753,1.3378,-0.7442,-0.4414,-0.3868,-0.0057,0.1827,-0.1043,-1.3369,-0.1063,-0.2663,-0.1285,-0.7063,-0.1168,0.4121
TCGA-AG-3583-01,-0.1817,1.6397,0.0217,0.8133,-0.2661,1.2535,0.35,-0.0713,-0.4508,-0.9016,-0.2973,-0.6742,-1.4005,0.4184,-0.0369,-1.3729,1.4157,-0.9051,1.2269,-0.5559,0.7132,0.8313,0.585,1.6773,0.5153,-0.3371,0.1393,-1.5336,-0.7725,2.1415,-0.1357,-0.5434
